"id","name","bbe","gb_rate","air_rate","fb_rate","ld_rate","pu_rate","pull_rate","straight_rate","oppo_rate","pull_gb_rate","straight_gb_rate","oppo_gb_rate","pull_air_rate","straight_air_rate","oppo_air_rate"
678246,"Vargas, Miguel",156,0.28205128205128205,0.717948717948718,0.34615384615384615,0.25,0.12179487179487179,0.3974358974358974,0.4166666666666667,0.1858974358974359,0.1794871794871795,0.08333333333333333,0.019230769230769232,0.21794871794871792,0.33333333333333337,0.16666666666666669
643217,"Benintendi, Andrew",80,0.2875,0.7125,0.425,0.1625,0.125,0.5125,0.275,0.2125,0.1875,0.0625,0.0375,0.32499999999999996,0.21250000000000002,0.175
676070,"Amaya, Jacob",51,0.5098039215686274,0.49019607843137253,0.17647058823529413,0.23529411764705882,0.0784313725490196,0.3137254901960784,0.35294117647058826,0.3333333333333333,0.2549019607843137,0.1568627450980392,0.09803921568627451,0.05882352941176472,0.19607843137254904,0.23529411764705882
681460,"Baldwin, Brooks",96,0.5208333333333334,0.47916666666666663,0.22916666666666666,0.19791666666666666,0.052083333333333336,0.4479166666666667,0.3333333333333333,0.21875,0.2916666666666667,0.19791666666666666,0.03125,0.15625,0.13541666666666666,0.1875
596103,"Slater, Austin",19,0.42105263157894735,0.5789473684210527,0.3684210526315789,0.21052631578947367,0,0.5263157894736842,0.3684210526315789,0.10526315789473684,0.42105263157894735,0,0,0.10526315789473684,0.3684210526315789,0.10526315789473684
683734,"Vaughn, Andrew",143,0.4125874125874126,0.5874125874125874,0.2937062937062937,0.23076923076923078,0.06293706293706294,0.3776223776223776,0.3356643356643357,0.2867132867132867,0.17482517482517482,0.1958041958041958,0.04195804195804196,0.20279720279720279,0.13986013986013987,0.24475524475524477
665155,"Maton, Nick",35,0.2,0.8,0.42857142857142855,0.22857142857142856,0.14285714285714285,0.37142857142857144,0.42857142857142855,0.2,0.14285714285714285,0.05714285714285714,0,0.2285714285714286,0.3714285714285714,0.2
673357,"Robert Jr., Luis",121,0.39669421487603307,0.6033057851239669,0.2892561983471074,0.19834710743801653,0.11570247933884298,0.45454545454545453,0.2892561983471074,0.256198347107438,0.2644628099173554,0.09090909090909091,0.04132231404958678,0.19008264462809915,0.1983471074380165,0.21487603305785122
642136,"Thaiss, Matt",65,0.4153846153846154,0.5846153846153846,0.27692307692307694,0.2153846153846154,0.09230769230769231,0.35384615384615387,0.36923076923076925,0.27692307692307694,0.24615384615384617,0.12307692307692308,0.046153846153846156,0.1076923076923077,0.24615384615384617,0.23076923076923078
608671,"Jankowski, Travis",34,0.6176470588235294,0.38235294117647056,0.11764705882352941,0.20588235294117646,0.058823529411764705,0.35294117647058826,0.4117647058823529,0.23529411764705882,0.29411764705882354,0.20588235294117646,0.11764705882352941,0.05882352941176472,0.20588235294117646,0.11764705882352941
672820,"Sosa, Lenyn",139,0.30935251798561153,0.6906474820143884,0.2589928057553957,0.3237410071942446,0.1079136690647482,0.34532374100719426,0.35251798561151076,0.302158273381295,0.15827338129496402,0.11510791366906475,0.03597122302158273,0.18705035971223025,0.237410071942446,0.26618705035971224
572191,"Taylor, Michael A.",61,0.39344262295081966,0.6065573770491803,0.29508196721311475,0.21311475409836064,0.09836065573770492,0.3770491803278688,0.2786885245901639,0.3442622950819672,0.26229508196721313,0.08196721311475409,0.04918032786885246,0.1147540983606557,0.19672131147540983,0.29508196721311475
686676,"Lee, Korey",12,0.4166666666666667,0.5833333333333333,0.16666666666666666,0.25,0.16666666666666666,0.3333333333333333,0.4166666666666667,0.25,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333331,0.33333333333333337,0.16666666666666669
624413,"Alonso, Pete",154,0.3961038961038961,0.6038961038961038,0.2922077922077922,0.2662337662337662,0.045454545454545456,0.4675324675324675,0.2922077922077922,0.24025974025974026,0.22077922077922077,0.12987012987012986,0.045454545454545456,0.24675324675324675,0.16233766233766234,0.19480519480519481
620443,"Torrens, Luis",69,0.4492753623188406,0.5507246376811594,0.2463768115942029,0.2898550724637681,0.014492753623188406,0.2898550724637681,0.42028985507246375,0.2898550724637681,0.14492753623188406,0.21739130434782608,0.08695652173913043,0.14492753623188406,0.20289855072463767,0.2028985507246377
607043,"Nimmo, Brandon",151,0.4503311258278146,0.5496688741721855,0.2582781456953642,0.2251655629139073,0.06622516556291391,0.32450331125827814,0.37748344370860926,0.2980132450331126,0.2052980132450331,0.16556291390728478,0.07947019867549669,0.11920529801324503,0.21192052980132448,0.2185430463576159
668901,"Vientos, Mark",134,0.41044776119402987,0.5895522388059701,0.26865671641791045,0.2537313432835821,0.06716417910447761,0.29850746268656714,0.44029850746268656,0.26119402985074625,0.17164179104477612,0.208955223880597,0.029850746268656716,0.12686567164179102,0.23134328358208955,0.23134328358208953
596019,"Lindor, Francisco",181,0.4696132596685083,0.5303867403314917,0.2596685082872928,0.20994475138121546,0.06077348066298342,0.43646408839779005,0.36464088397790057,0.19889502762430938,0.20994475138121546,0.20441988950276244,0.055248618784530384,0.2265193370165746,0.16022099447513813,0.143646408839779
608385,"Winker, Jesse",49,0.3673469387755102,0.6326530612244898,0.20408163265306123,0.22448979591836735,0.20408163265306123,0.5510204081632653,0.22448979591836735,0.22448979591836735,0.24489795918367346,0.12244897959183673,0,0.3061224489795918,0.10204081632653061,0.22448979591836735
621438,"Taylor, Tyrone",112,0.32142857142857145,0.6785714285714285,0.20535714285714285,0.3125,0.16071428571428573,0.4107142857142857,0.33035714285714285,0.25892857142857145,0.1875,0.11607142857142858,0.017857142857142856,0.2232142857142857,0.21428571428571427,0.2410714285714286
665742,"Soto, Juan",160,0.525,0.475,0.2375,0.2,0.0375,0.3625,0.425,0.2125,0.25,0.23125,0.04375,0.11249999999999999,0.19374999999999998,0.16875
683146,"Baty, Brett",77,0.4155844155844156,0.5844155844155844,0.23376623376623376,0.2857142857142857,0.06493506493506493,0.37662337662337664,0.33766233766233766,0.2857142857142857,0.19480519480519481,0.14285714285714285,0.07792207792207792,0.18181818181818182,0.19480519480519481,0.20779220779220778
516782,"Marte, Starling",73,0.4931506849315068,0.5068493150684932,0.2054794520547945,0.2328767123287671,0.0684931506849315,0.3287671232876712,0.3972602739726027,0.273972602739726,0.2328767123287671,0.1780821917808219,0.0821917808219178,0.0958904109589041,0.2191780821917808,0.1917808219178082
682668,"Acuña, Luisangel",99,0.5858585858585859,0.4141414141414141,0.15151515151515152,0.2222222222222222,0.04040404040404041,0.21212121212121213,0.5151515151515151,0.2727272727272727,0.16161616161616163,0.30303030303030304,0.12121212121212122,0.0505050505050505,0.2121212121212121,0.1515151515151515
663728,"Raleigh, Cal",132,0.25757575757575757,0.7424242424242424,0.3712121212121212,0.23484848484848486,0.13636363636363635,0.5378787878787878,0.3181818181818182,0.14393939393939395,0.1590909090909091,0.07575757575757576,0.022727272727272728,0.3787878787878788,0.24242424242424243,0.12121212121212122
645302,"Robles, Victor",38,0.5263157894736842,0.47368421052631576,0.3157894736842105,0.10526315789473684,0.05263157894736842,0.34210526315789475,0.39473684210526316,0.2631578947368421,0.23684210526315788,0.23684210526315788,0.05263157894736842,0.10526315789473686,0.15789473684210528,0.21052631578947367
668227,"Arozarena, Randy",121,0.39669421487603307,0.603305785123967,0.2644628099173554,0.24793388429752067,0.09090909090909091,0.4132231404958678,0.33884297520661155,0.24793388429752067,0.1652892561983471,0.17355371900826447,0.05785123966942149,0.24793388429752067,0.16528925619834708,0.19008264462809918
641487,"Crawford, J.P.",134,0.417910447761194,0.5820895522388059,0.2537313432835821,0.26865671641791045,0.05970149253731343,0.31343283582089554,0.3880597014925373,0.29850746268656714,0.16417910447761194,0.1791044776119403,0.07462686567164178,0.1492537313432836,0.20895522388059704,0.22388059701492535
677594,"Rodríguez, Julio",169,0.4911242603550296,0.5088757396449705,0.25443786982248523,0.1893491124260355,0.0650887573964497,0.40236686390532544,0.3727810650887574,0.22485207100591717,0.26627218934911245,0.17751479289940827,0.047337278106508875,0.136094674556213,0.19526627218934914,0.1775147928994083
456781,"Solano, Donovan",55,0.4727272727272727,0.5272727272727272,0.23636363636363636,0.21818181818181817,0.07272727272727272,0.32727272727272727,0.38181818181818183,0.2909090909090909,0.21818181818181817,0.18181818181818182,0.07272727272727272,0.1090909090909091,0.2,0.21818181818181817
641598,"Garver, Mitch",61,0.36065573770491804,0.6393442622950819,0.2786885245901639,0.2459016393442623,0.11475409836065574,0.4426229508196721,0.3770491803278688,0.18032786885245902,0.22950819672131148,0.13114754098360656,0,0.21311475409836064,0.24590163934426226,0.18032786885245902
669208,"Bliss, Ryan",24,0.5,0.5,0.3333333333333333,0.16666666666666666,0,0.4166666666666667,0.2916666666666667,0.2916666666666667,0.375,0.08333333333333333,0.041666666666666664,0.041666666666666685,0.20833333333333337,0.25
664238,"Moore, Dylan",89,0.3707865168539326,0.6292134831460674,0.29213483146067415,0.2247191011235955,0.11235955056179775,0.43820224719101125,0.3595505617977528,0.20224719101123595,0.20224719101123595,0.1348314606741573,0.033707865168539325,0.2359550561797753,0.2247191011235955,0.16853932584269662
670042,"Raley, Luke",49,0.5306122448979592,0.46938775510204084,0.22448979591836735,0.20408163265306123,0.04081632653061224,0.4489795918367347,0.32653061224489793,0.22448979591836735,0.32653061224489793,0.14285714285714285,0.061224489795918366,0.12244897959183676,0.18367346938775508,0.163265306122449
593871,"Polanco, Jorge",111,0.44144144144144143,0.5585585585585586,0.24324324324324326,0.24324324324324326,0.07207207207207207,0.5135135135135135,0.32432432432432434,0.16216216216216217,0.2702702702702703,0.12612612612612611,0.04504504504504504,0.2432432432432432,0.19819819819819823,0.11711711711711713
642133,"Tellez, Rowdy",82,0.32926829268292684,0.6707317073170731,0.35365853658536583,0.21951219512195122,0.0975609756097561,0.34146341463414637,0.4024390243902439,0.25609756097560976,0.13414634146341464,0.14634146341463414,0.04878048780487805,0.20731707317073172,0.25609756097560976,0.20731707317073172
670156,"Mastrobuoni, Miles",77,0.4935064935064935,0.5064935064935064,0.2077922077922078,0.2857142857142857,0.012987012987012988,0.3246753246753247,0.36363636363636365,0.3116883116883117,0.23376623376623376,0.22077922077922077,0.03896103896103896,0.09090909090909091,0.14285714285714288,0.2727272727272727
668939,"Rutschman, Adley",143,0.3776223776223776,0.6223776223776223,0.2937062937062937,0.26573426573426573,0.06293706293706294,0.4125874125874126,0.3146853146853147,0.2727272727272727,0.22377622377622378,0.11888111888111888,0.03496503496503497,0.18881118881118883,0.1958041958041958,0.23776223776223773
681297,"Cowser, Colton",10,0.5,0.5,0.2,0.1,0.2,0.4,0.5,0.1,0.3,0.2,0,0.10000000000000003,0.3,0.1
663624,"Mountcastle, Ryan",137,0.43795620437956206,0.5620437956204378,0.22627737226277372,0.291970802919708,0.043795620437956206,0.4306569343065693,0.29927007299270075,0.27007299270072993,0.24817518248175183,0.1386861313868613,0.051094890510948905,0.1824817518248175,0.16058394160583944,0.21897810218978103
657656,"Laureano, Ramón",66,0.3939393939393939,0.6060606060606061,0.36363636363636365,0.21212121212121213,0.030303030303030304,0.42424242424242425,0.4090909090909091,0.16666666666666666,0.18181818181818182,0.16666666666666666,0.045454545454545456,0.24242424242424243,0.24242424242424246,0.1212121212121212
641933,"O'Neill, Tyler",55,0.36363636363636365,0.6363636363636364,0.41818181818181815,0.10909090909090909,0.10909090909090909,0.4727272727272727,0.32727272727272727,0.2,0.2545454545454545,0.10909090909090909,0,0.2181818181818182,0.2181818181818182,0.2
602104,"Urías, Ramón",94,0.4574468085106383,0.5425531914893617,0.22340425531914893,0.22340425531914893,0.09574468085106383,0.425531914893617,0.3617021276595745,0.2127659574468085,0.23404255319148937,0.1702127659574468,0.05319148936170213,0.19148936170212766,0.1914893617021277,0.1595744680851064
656775,"Mullins, Cedric",128,0.28125,0.71875,0.3359375,0.25,0.1328125,0.4296875,0.328125,0.2421875,0.1328125,0.1171875,0.03125,0.296875,0.2109375,0.2109375
622761,"Mateo, Jorge",33,0.3939393939393939,0.6060606060606061,0.30303030303030304,0.21212121212121213,0.09090909090909091,0.24242424242424243,0.5151515151515151,0.24242424242424243,0.12121212121212122,0.24242424242424243,0.030303030303030304,0.12121212121212122,0.2727272727272727,0.21212121212121213
702616,"Holliday, Jackson",134,0.5149253731343284,0.48507462686567165,0.22388059701492538,0.22388059701492538,0.03731343283582089,0.291044776119403,0.417910447761194,0.291044776119403,0.208955223880597,0.23880597014925373,0.06716417910447761,0.08208955223880599,0.1791044776119403,0.22388059701492538
656811,"O'Hearn, Ryan",127,0.48031496062992124,0.5196850393700787,0.2204724409448819,0.25984251968503935,0.03937007874015748,0.44881889763779526,0.33858267716535434,0.2125984251968504,0.2677165354330709,0.16535433070866143,0.047244094488188976,0.18110236220472437,0.1732283464566929,0.16535433070866143
676059,"Westburg, Jordan",70,0.42857142857142855,0.5714285714285714,0.2857142857142857,0.18571428571428572,0.1,0.2857142857142857,0.45714285714285713,0.2571428571428571,0.17142857142857143,0.24285714285714285,0.014285714285714285,0.11428571428571427,0.21428571428571427,0.24285714285714283
677008,"Kjerstad, Heston",97,0.44329896907216493,0.5567010309278351,0.27835051546391754,0.1958762886597938,0.08247422680412371,0.38144329896907214,0.31958762886597936,0.29896907216494845,0.24742268041237114,0.16494845360824742,0.030927835051546393,0.134020618556701,0.15463917525773194,0.26804123711340205
596142,"Sánchez, Gary",19,0.47368421052631576,0.5263157894736842,0.3157894736842105,0.10526315789473684,0.10526315789473684,0.631578947368421,0.15789473684210525,0.21052631578947367,0.3684210526315789,0.10526315789473684,0,0.2631578947368421,0.05263157894736842,0.21052631578947367
657757,"Sheets, Gavin",123,0.34146341463414637,0.6585365853658537,0.2601626016260163,0.3089430894308943,0.08943089430894309,0.44715447154471544,0.3089430894308943,0.24390243902439024,0.16260162601626016,0.11382113821138211,0.06504065040650407,0.2845528455284553,0.1951219512195122,0.17886178861788615
665487,"Tatis Jr., Fernando",162,0.5493827160493827,0.45061728395061723,0.2222222222222222,0.19135802469135801,0.037037037037037035,0.36419753086419754,0.4074074074074074,0.22839506172839505,0.25308641975308643,0.2222222222222222,0.07407407407407407,0.1111111111111111,0.18518518518518517,0.15432098765432098
592518,"Machado, Manny",161,0.38509316770186336,0.6149068322981367,0.2484472049689441,0.2981366459627329,0.06832298136645963,0.32298136645962733,0.42857142857142855,0.2484472049689441,0.16770186335403728,0.19254658385093168,0.024844720496894408,0.15527950310559005,0.23602484472049687,0.2236024844720497
650333,"Arraez, Luis",190,0.41578947368421054,0.5842105263157895,0.23684210526315788,0.30526315789473685,0.042105263157894736,0.3105263157894737,0.3157894736842105,0.3736842105263158,0.18947368421052632,0.14210526315789473,0.08421052631578947,0.12105263157894738,0.17368421052631577,0.2894736842105263
701538,"Merrill, Jackson",88,0.48863636363636365,0.5113636363636364,0.26136363636363635,0.23863636363636365,0.011363636363636364,0.38636363636363635,0.36363636363636365,0.25,0.2727272727272727,0.19318181818181818,0.022727272727272728,0.11363636363636365,0.17045454545454547,0.22727272727272727
553869,"Díaz, Elias",87,0.40229885057471265,0.5977011494252873,0.2413793103448276,0.21839080459770116,0.13793103448275862,0.367816091954023,0.3103448275862069,0.3218390804597701,0.1724137931034483,0.13793103448275862,0.09195402298850575,0.1954022988505747,0.1724137931034483,0.22988505747126436
663604,"Lockridge, Brandon",49,0.6530612244897959,0.3469387755102041,0.1836734693877551,0.16326530612244897,0,0.1836734693877551,0.4897959183673469,0.32653061224489793,0.14285714285714285,0.32653061224489793,0.1836734693877551,0.04081632653061226,0.163265306122449,0.14285714285714282
593428,"Bogaerts, Xander",144,0.4097222222222222,0.5902777777777777,0.2152777777777778,0.2986111111111111,0.0763888888888889,0.3888888888888889,0.3888888888888889,0.2222222222222222,0.2013888888888889,0.16666666666666666,0.041666666666666664,0.1875,0.22222222222222224,0.18055555555555555
630105,"Cronenworth, Jake",70,0.42857142857142855,0.5714285714285714,0.34285714285714286,0.17142857142857143,0.05714285714285714,0.4,0.37142857142857144,0.22857142857142856,0.18571428571428572,0.15714285714285714,0.08571428571428572,0.2142857142857143,0.2142857142857143,0.14285714285714285
493329,"Gurriel, Yuli",28,0.39285714285714285,0.6071428571428571,0.2857142857142857,0.10714285714285714,0.21428571428571427,0.2857142857142857,0.5357142857142857,0.17857142857142858,0.17857142857142858,0.21428571428571427,0,0.10714285714285712,0.3214285714285714,0.17857142857142858
455117,"Maldonado, Martín",50,0.48,0.52,0.24,0.18,0.1,0.44,0.34,0.22,0.3,0.14,0.04,0.14,0.2,0.18
518792,"Heyward, Jason",68,0.45588235294117646,0.5441176470588236,0.3088235294117647,0.11764705882352941,0.11764705882352941,0.45588235294117646,0.35294117647058826,0.19117647058823528,0.25,0.1323529411764706,0.07352941176470588,0.20588235294117646,0.22058823529411767,0.1176470588235294
578428,"Iglesias, Jose",92,0.7391304347826086,0.2608695652173913,0.09782608695652174,0.15217391304347827,0.010869565217391304,0.2826086956521739,0.358695652173913,0.358695652173913,0.2391304347826087,0.2608695652173913,0.2391304347826087,0.04347826086956519,0.09782608695652173,0.11956521739130432
691176,"Domínguez, Jasson",105,0.4095238095238095,0.5904761904761905,0.26666666666666666,0.23809523809523808,0.08571428571428572,0.4,0.3047619047619048,0.29523809523809524,0.23809523809523808,0.13333333333333333,0.0380952380952381,0.16190476190476194,0.17142857142857146,0.2571428571428571
502671,"Goldschmidt, Paul",165,0.40606060606060607,0.593939393939394,0.23636363636363636,0.30303030303030304,0.05454545454545454,0.40606060606060607,0.34545454545454546,0.24848484848484848,0.21818181818181817,0.13333333333333333,0.05454545454545454,0.1878787878787879,0.21212121212121213,0.19393939393939394
