Name,Side
Mauricio Dubón,R
Max Muncy,R
Max Schuemann,R
Michael A. Taylor,R
Michael Chavis,R
Michael Helman,R
Michael Stefanic,R
Miguel Amaya,R
Miguel Andujar,R
Miguel Cabrera,R
Miguel Rojas,R
Miguel Sanó,R
Miguel Vargas,R
Mike Brosseau,R
Mike Trout,R
Mike Zunino,R
Mitch Garver,R
Mitch Haniger,R
Mookie Betts,R
Myles Straw,R
Nacho Alvarez Jr.,R
Nate Eaton,R
Nelson Cruz,R
Nelson Velázquez,R
Nick Ahmed,R
Nick Allen,R
Nick Castellanos,R
Nick Fortes,R
Nick Gonzales,R
Nick Loftin,R
Nick Madrigal,R
Nick Senzel,R
Nick Yorke,R
Nico Hoerner,R
Noelvi Marte,R
Nolan Arenado,R
Orlando Arcia,R
Oscar Gonzalez,R
Osleivis Basabe,R
Oswald Peraza,R
Otto Lopez,R
Owen Miller,R
Pablo Reyes,R
Patrick Wisdom,R
Paul DeJong,R
Paul Goldschmidt,R
Pedro León,R
Pedro Pagés,R
Pete Alonso,R
Peyton Burdick,R
Ramón Laureano,R
Ramón Urías,R
Randal Grichuk,R
Randy Arozarena,R
Rece Hinds,R
René Pinto,R
Rhys Hoskins,R
Riley Adams,R
Rob Refsnyder,R
Roberto Pérez,R
Romy Gonzalez,R
Ronald Acuña Jr.,R
Royce Lewis,R
Ryan Bliss,R
Ryan Jeffers,R
Ryan Kreidler,R
Ryan McKenna,R
Ryan Mountcastle,R
Ryan Vilade,R
Rylan Bannon,R
Salvador Perez,R
Sam Huff,R
Samad Taylor,R
Sandro Fabian,R
Santiago Espinal,R
Sean Bouchard,R
Sean Murphy,R
Seby Zavala,R
Seiya Suzuki,R
Shay Whitcomb,R
Shea Langeliers,R
Spencer Steer,R
Spencer Torkelson,R
Starling Marte,R
Stone Garrett,R
Stuart Fairchild,R
TJ Hopkins,R
Taylor Motter,R
Taylor Ward,R
Teoscar Hernández,R
Thairo Estrada,R
Thomas Saggese,R
Tim Anderson,R
Tim Locastro,R
Tim Tawa,R
Tom Murphy,R
Tommy Pham,R
Tomás Nido,R
Travis d’Arnaud,R
Trayce Thompson,R
Trea Turner,R
Trevor Story,R
Trey Lipscomb,R
Trey Mancini,R
Ty France,R
Tyler Cropley,R
Tyler Fitzgerald,R
Tyler Freeman,R
Tyler Gentry,R
Tyler Locklear,R
Tyler Nevin,R
Tyler O’Neill,R
Tyler Stephenson,R
Tyler Tolbert,R
Tyrone Taylor,R
Vaughn Grissom,R
Victor Robles,R
Vinny Capra,R
Vladimir Guerrero Jr.,R
Weston Wilson,R
Whit Merrifield,R
Wil Myers,R
Will Smith,R
Will Wilson,R
William Contreras,R
Willson Contreras,R
Willy Adames,R
Wilmer Flores,R
Wyatt Langford,R
Xander Bogaerts,R
Yainer Díaz,R
Yan Gomes,R
Yandy Díaz,R
Yohel Pozo,R
Yonathan Daza,R
Yu Chang,R
Yuli Gurriel,R
Zach Dezenzo,R
Zach Neto,R
Zach Remillard,R
Zack Gelof,R
Zack Short,R
Óscar Mercado,R
Adam Frazier,L
Adam Haseley,L
Addison Barger,L
Adrian Del Castillo,L
Akil Baddoo,L
Alan Roden,L
Alec Burleson,L
Alek Thomas,L
Alex Kirilloff,L
Alex Verdugo,L
Alfonso Rivas III,L
Andrew Benintendi,L
Andrew Stevenson,L
Andrés Giménez,L
Anthony Bemboom,L
Anthony Rizzo,L
Austin Meadows,L
Austin Shenton,L
Austin Wells,L
Ben Gamel,L
Ben Rice,L
Ben Rortvedt,L
Billy McKinney,L
Blake Rutherford,L
Blake Sabol,L
Bligh Madris,L
Bo Naylor,L
Brad Miller,L
Braden Shewmake,L
Brandon Belt,L
Brandon Crawford,L
Brandon Lowe,L
Brandon Marsh,L
Brandon Nimmo,L
Brendan Donovan,L
Brett Baty,L
Brett Phillips,L
Brett Sullivan,L
Brett Wisely,L
Brice Turang,L
Bryce Harper,L
Bryson Stott,L
CJ Abrams,L
CJ Alexander,L
Cade Marlowe,L
Cal Mitchell,L
Cal Stevenson,L
Canaan Smith-Njigba,L
Cavan Biggio,L
Cedric Mullins,L
Chandler Simpson,L
Charlie Blackmon,L
Christian Yelich,L
Cody Bellinger,L
Cody Thomas,L
Colt Keith,L
Colton Cowser,L
Conner Capel,L
Corbin Carroll,L
Corey Dickerson,L
Corey Seager,L
César Salazar,L
DJ Stewart,L
DaShawn Keirsey Jr.,L
Daniel Schneemann,L
Daniel Vogelbach,L
Darick Hall,L
Darren Baker,L
Daulton Varsho,L
David Dahl,L
David Hamilton,L
David Peralta,L
Dominic Canzone,L
Dominic Fletcher,L
Dominic Smith,L
Donovan Walton,L
Drake Baldwin,L
Duke Ellis,L
Dustin Harris,L
Eddie Rosario,L
Eddy Alvarez,L
Edouard Julien,L
Edwin Ríos,L
Enmanuel Valdez,L
Eric Hosmer,L
Estevan Florial,L
Evan Carter,L
Forrest Wall,L
Franchy Cordero,L
Freddie Freeman,L
Gage Workman,L
Garrett Mitchell,L
Garrett Stubbs,L
Gavin Lux,L
Gavin Sheets,L
Graham Pauley,L
Grant McCray,L
Griffin Conine,L
Gunnar Henderson,L
Harold Castro,L
Heston Kjerstad,L
Hunter Feduccia,L
Irving Lopez,L
Isan Díaz,L
J.C. Escarra,L
J.P. Crawford,L
J.P. Martínez,L
JJ Bleday,L
Jace Jung,L
Jace Peterson,L
Jack Suwinski,L
Jackie Bradley Jr.,L
Jackson Holliday,L
Jackson Merrill,L
Jacob Hurtubise,L
Jake Alu,L
Jake Bauers,L
Jake Cave,L
Jake Cronenworth,L
Jake Fraley,L
Jake Lamb,L
Jake McCarthy,L
James Outman,L
James Wood,L
Jared Walsh,L
Jared Young,L
Jarred Kelenic,L
Jarren Duran,L
Jason Heyward,L
Jason Vosler,L
Jazz Chisholm Jr.,L
Jeff McNeil,L
Jesse Winker,L
Jesús Sánchez,L
Ji Hwan Bae,L
Ji Man Choi,L
Joc Pederson,L
Joey Gallo,L
Joey Loperfido,L
Joey Votto,L
Joey Wendle,L
Jon Singleton,L
Jonathan Aranda,L
Josh Lester,L
Josh Lowe,L
Josh Naylor,L
Josh Rojas,L
Josh Smith,L
Joshua Palacios,L
José Tena,L
Juan Soto,L
Jung Hoo Lee,L
Kameron Misner,L
Kerry Carpenter,L
Kevin Kiermaier,L
Kody Clemens,L
Kole Calhoun,L
Kolten Wong,L
Kyle Isbel,L
Kyle Manzardo,L
Kyle McCann,L
