"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Caminero, Junior","691406","156","4.8",23.7,"116.5","91.2","103.5","96.4","89.7","419","130","392","76",48.7,"13",8.3,6.3
"Vargas, Miguel","678246","156","22.8",36.5,"110","90.4","99.7","93.4","88.4","422","200","381","67",42.9,"16",10.3,7.4
"Perez, Salvador","521692","156","15.8",37.2,"114.8","90.3","102.3","94.9","84.8","418","190","402","73",46.8,"21",13.5,9.7
"Bregman, Alex","608324","156","19.7",32.1,"109.6","92.1","100.4","95.4","89.4","411","190","396","75",48.1,"16",10.3,7.1
"Swanson, Dansby","621020","155","14",34.2,"109.3","90.3","101.3","96","85.6","433","166","398","71",45.8,"19",12.3,8.1
"India, Jonathan","663697","155","17.5",36.1,"108.4","89.2","98.7","91.1","89.8","401","176","393","60",38.7,"8",5.2,3.8
"Devers, Rafael","646240","155","14.2",40,"111.1","94.6","103.9","95.6","94.2","442","181","399","90",58.1,"26",16.8,10
"Alonso, Pete","624413","154","13.6",39.6,"114.6","94.7","105.9","99.7","89.1","443","181","409","87",56.5,"30",19.5,12.4
"Flores, Wilmer","527038","154","16.4",40.3,"106.8","84.9","95.8","89.8","80.7","399","165","379","38",24.7,"10",6.5,4.7
"Schanuel, Nolan","694384","154","11.8",43.5,"109.8","88","97","91.7","84","418","166","391","45",29.2,"7",4.5,3.3
"Turang, Brice","668930","154","8",36.4,"109.8","91.6","100.1","94.5","88.9","444","153","421","69",44.8,"13",8.4,5.7
"Adames, Willy","642715","153","20.9",30.1,"109.9","88.3","99.7","94.9","79.6","401","180","389","69",45.1,"17",11.1,7.1
"Ramos, Heliot","671218","153","7.6",30.1,"116","90.9","102.5","97.6","86.6","430","156","391","69",45.1,"20",13.1,8.8
"Ohtani, Shohei","660271","153","13.9",37.9,"117.9","96.1","107.1","101.4","89.7","448","199","402","100",65.4,"36",23.5,14.4
"Judge, Aaron","592450","153","16.1",36.6,"117.7","95.4","106.9","97.9","91.6","468","193","396","86",56.2,"35",22.9,14.3
"Soderstrom, Tyler","691016","153","10.1",40.5,"114","92.7","104.1","96","89.9","432","172","392","80",52.3,"24",15.7,10.2
"Butler, Lawrence","671732","152","8.8",32.2,"113.6","92","102.4","96.4","87.7","435","169","420","71",46.7,"15",9.9,6.7
"Riley, Austin","663586","151","17.1",39.1,"113.2","92.3","104.1","97","86.3","444","191","413","77",51,"23",15.2,9.8
"Reynolds, Bryan","668804","151","5.5",35.1,"112","90.7","102.4","95.6","85.9","410","159","395","68",45,"19",12.6,8.1
"Nimmo, Brandon","607043","151","10.8",31.1,"109.6","92.3","101.9","94.2","91.6","412","162","398","79",52.3,"16",10.6,7.8
"Bellinger, Cody","641355","151","21.2",39.1,"110.2","90","99.8","93.2","87.5","451","198","397","61",40.4,"16",10.6,7.7
"De La Cruz, Elly","682829","150","5.6",28.7,"114.9","91.3","103.6","95.8","88.5","451","144","408","70",46.7,"20",13.3,8.2
"Pages, Andy","681624","150","18.2",40,"110.6","89","98.8","91.7","84.2","418","194","397","53",35.3,"12",8,5.8
"Wagaman, Eric","676572","149","12.2",37.6,"111","91.7","102","95","90","427","168","417","70",47,"12",8.1,6.1
"Ward, Taylor","621493","149","20.4",32.9,"110.3","91.1","102","97","83.8","426","200","391","71",47.7,"25",16.8,11.1
"Semien, Marcus","543760","149","19.4",35.6,"110","88.1","98.2","91.5","85.4","417","186","401","52",34.9,"12",8.1,5.5
"Carpenter, Kerry","681481","148","19.6",35.1,"109.2","91.8","101.3","95.8","89","413","186","383","70",47.3,"20",13.5,10.2
"Larnach, Trevor","663616","148","8.9",29.7,"111.8","90.7","101.5","93.6","88.8","434","151","394","65",43.9,"11",7.4,5.1
"Suzuki, Seiya","673548","148","15.3",45.3,"116.2","93","103.7","95.8","89.3","445","196","403","75",50.7,"24",16.2,10.4
"Goodman, Hunter","696100","147","17.6",27.9,"116.2","91.3","102.9","95.5","89","421","176","397","71",48.3,"14",9.5,6.5
"Langeliers, Shea","669127","146","12.1",32.2,"114.5","90.5","102.1","94.2","87.4","429","162","400","67",45.9,"15",10.3,7.6
"Suárez, Eugenio","553993","146","23.1",34.2,"111.8","91.5","102.3","95.9","86.1","458","209","420","76",52.1,"22",15.1,9.7
"Stott, Bryson","681082","146","14.5",39,"110.7","86.6","96.8","89","83.4","411","170","392","40",27.4,"8",5.5,4
"Happ, Ian","664023","146","16.6",37.7,"112","89.2","100.2","93.8","84.9","404","167","377","58",39.7,"11",7.5,5
"Lowe, Nathaniel","663993","145","11.7",33.8,"111.7","90.5","101.2","95","87.5","421","161","395","65",44.8,"10",6.9,4.4
"Walker, Christian","572233","145","15",36.6,"112.8","90.6","102.5","94.5","86.4","417","179","388","68",46.9,"18",12.4,8.1
"Bogaerts, Xander","593428","144","11.8",37.5,"112.2","89.8","100.4","94.5","85.7","393","165","369","58",40.3,"7",4.9,3.3
"García, Adolis","666969","143","21.5",31.5,"113.6","92.6","102","94.4","93.2","431","195","399","68",47.6,"21",14.7,9.9
"García Jr., Luis","671277","143","7.1",33.6,"111.7","89.3","100.2","95.4","83.9","420","165","390","64",44.8,"11",7.7,6.1
"Olson, Matt","621566","143","13.2",37.1,"113.8","94.7","104.7","99.5","91.2","434","181","404","81",56.6,"27",18.9,11.7
"Abreu, Wilyer","677800","143","23.9",30.1,"111.2","90.7","102.7","93.7","88.6","430","196","403","65",45.5,"19",13.3,9.2
"Rutschman, Adley","668939","143","16.5",35.7,"111","90.1","99.6","93.2","85.9","436","183","413","56",39.2,"13",9.1,6.5
"Vaughn, Andrew","683734","143","15.4",35.7,"110.5","91.5","101.6","94.9","89.2","405","172","391","69",48.3,"19",13.3,9.8
"Contreras, William","661388","143","5.1",31.5,"114.1","89.7","101.6","97","83.8","408","141","389","58",40.6,"8",5.6,3.6
"Rengifo, Luis","650859","142","2.9",31.7,"106.6","86.6","97.3","91.6","83.8","402","127","402","43",30.3,"5",3.5,2.8
"Volpe, Anthony","683011","142","10.1",32.4,"110.5","90.9","101.7","96.3","86.7","424","168","374","69",48.6,"15",10.6,6.7
"Contreras, Willson","575929","142","7.1",38,"114.7","89.6","102.8","94.6","85.8","421","153","398","61",43,"15",10.6,6.9
"Wood, James","695578","142","4.2",29.6,"117.9","93.8","106.7","99.8","89","448","159","412","83",58.5,"25",17.6,10.5
"Story, Trevor","596115","141","12.2",29.1,"111.7","89.7","101.9","93","88.3","427","154","393","65",46.1,"14",9.9,6.4
"Greene, Riley","682985","141","9.6",38.3,"114.5","91","103.2","96.8","85.3","417","164","384","70",49.6,"25",17.7,11.1
"Espinal, Santiago","669289","141","12.8",31.9,"107.4","86.1","95.7","89.4","84.2","375","149",,"35",24.8,"1",0.7,0.6
"Ortiz, Joey","687401","141","14.7",29.8,"109.1","85","97.8","89.4","83.9","382","145","358","47",33.3,"4",2.8,2.1
"Yelich, Christian","592885","141","-0.3",24.1,"113.4","90.7","102.3","95.5","89.1","465","119","405","66",46.8,"8",5.7,3.5
"Edwards, Xavier","669364","140","10.6",30.7,"109","86.3","96.1","88.2","86.5","362","148",,"40",28.6,"0",0,0
"Schwarber, Kyle","656941","140","17.6",33.6,"116.7","93.9","104.7","97.3","90.4","466","191","411","83",59.3,"23",16.4,9.6
"Diaz, Yainer","673237","140","13.3",34.3,"109.7","90.2","100.2","93","89","409","166","394","57",40.7,"13",9.3,7
"Santana, Carlos","467793","140","14.5",26.4,"113.2","88.1","100.7","93.9","87.3","415","148","380","55",39.3,"11",7.9,5.3
"Sosa, Lenyn","672820","139","19.1",41,"110.3","90.9","100.3","93.7","88.1","416","187","389","57",41,"9",6.5,4.8
"Torkelson, Spencer","679529","139","21.9",41,"110.5","91.2","101.1","95.8","84.2","423","202","393","64",46,"20",14.4,8.7
"Lowe, Brandon","664040","138","13.7",39.1,"111.6","92.2","102.2","95.8","89.6","429","178","396","63",45.7,"16",11.6,7.8
"Kirk, Alejandro","672386","138","12.8",34.8,"111.4","91.7","102.2","95.2","89.5","424","162","407","72",52.2,"9",6.5,5.4
"Rafaela, Ceddanne","678882","138","10.4",34.1,"109.1","90.5","100.9","94.3","87.6","406","159","406","64",46.4,"18",13,9.6
"Mountcastle, Ryan","663624","137","9.9",37.2,"116.7","90.7","101.4","95.2","86.7","395","166","392","64",46.7,"15",10.9,7.8
"Torres, Gleyber","650402","137","16.3",38.7,"108.9","90.2","99.9","94.3","85.3","432","193","405","51",37.2,"16",11.7,8.7
"Andujar, Miguel","609280","135","10",33.3,"111.4","88","99.1","89.5","88.2","384","150","370","49",36.3,"5",3.7,3
"Chapman, Matt","656305","135","22.3",31.1,"113.5","93.9","103.2","95.3","97.7","418","187","397","68",50.4,"16",11.9,7
"Crawford, J.P.","641487","134","12.7",38.8,"108.6","86.6","97.3","90.1","83.1","417","157","382","46",34.3,"9",6.7,4.2
