"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Meyer, Max","676974","176","8.7",29.5,"112.7","92.1","82.6","94.9","90.2","429","147","387","84",47.7,"16",9.1,6.2
"Bubic, Kris","663460","176","14.5",34.7,"114.4","86.5","74.6","90.2","84.1","436","153","404","63",35.8,"11",6.3,4.1
"Luzardo, Jesús","666200","176","11.5",31.3,"112","89.2","78.7","92.1","87.6","420","155","394","75",42.6,"9",5.1,3.3
"Kikuchi, Yusei","579328","176","16.7",31.8,"112.2","90","79.1","94.1","88.1","424","171","397","68",38.6,"16",9.1,6.1
"Liberatore, Matthew","669461","176","12.3",32.4,"113.5","90.2","80.6","92.6","89","411","163","394","72",40.9,"13",7.4,5.5
"Gallen, Zac","668678","173","17.3",35.3,"110.1","90.7","80.5","93.2","87.7","425","187","395","77",44.5,"19",11,7.1
"Gray, Sonny","543243","171","14.5",36.3,"114.3","89.2","77.8","94.7","85.6","420","169","402","67",39.2,"17",9.9,6.7
"Mahle, Tyler","641816","171","12.4",33.3,"111.5","87.7","76.8","93.7","82.3","422","164","403","60",35.1,"12",7,5.1
"Francis, Bowden","670102","171","21",32.2,"113.1","90.6","79.5","94.9","87.7","426","180","388","83",48.5,"19",11.1,8
"Hendricks, Kyle","543294","171","16.8",31.6,"111.7","85.8","73","92.7","80.1","419","173","397","58",33.9,"17",9.9,7.6
"deGrom, Jacob","594798","170","12.8",29.4,"112.5","89.5","78.6","93.8","85.9","398","163","379","73",42.9,"14",8.2,5.7
"Holmes, Clay","605280","170","4.8",31.8,"111.4","90.4","79.9","96.8","86.5","407","138","382","75",44.1,"13",7.6,5.2
"Patrick, Chad","694477","169","21.3",39.1,"117.7","90","79.3","93.4","88.5","398","191","381","73",43.2,"10",5.9,4.1
"Burke, Sean","680732","168","16.4",36.9,"111.7","87.9","75.1","94.9","78.3","446","185","399","66",39.3,"19",11.3,7.9
"Rodón, Carlos","607074","168","13.4",31.5,"115.5","88.8","77.8","93.2","84.9","406","161","377","65",38.7,"13",7.7,4.6
"Peterson, David","656849","167","4.6",29.9,"111.8","90.6","79.7","93.4","88.9","424","131","394","76",45.5,"8",4.8,3.2
"Williams, Trevor","592866","166","16.6",33.1,"115.8","90.4","80.2","91.9","89.6","442","166","391","68",41,"9",5.4,4
"Wheeler, Zack","554430","165","13.3",35.8,"113.9","87.2","76.2","90.4","84.7","427","165","392","54",32.7,"11",6.7,4.1
"Lugo, Seth","607625","164","13.2",32.3,"110.4","90.5","79.9","94.9","86.5","440","173","398","75",45.7,"13",7.9,5.9
"Mikolas, Miles","571945","164","15.3",31.1,"113.8","88.9","77","94.1","84.1","409","175","393","69",42.1,"17",10.4,8
"Sale, Chris","519242","163","14.1",38,"116.7","87.9","76.7","91.2","84.9","462","172","397","53",32.5,"16",9.8,6.1
"Verlander, Justin","434378","162","17",37.7,"112.1","89.4","79","94","85.1","428","176","396","65",40.1,"19",11.7,8.4
"Skubal, Tarik","669373","161","12.9",39.1,"110.2","85.6","73","91.8","79.2","429","170","397","54",33.5,"13",8.1,4.9
"Burnes, Corbin","669203","161","7.3",32.9,"113.4","89.9","78.3","94.6","87.1","448","147","410","69",42.9,"13",8.1,5.3
"Peralta, Freddy","642547","161","19.8",32.3,"117.9","87.8","77","91.8","85","442","168","394","54",33.5,"13",8.1,5.2
"Roupp, Landen","694738","160","10.2",38.8,"115.4","87.2","75.5","91","84.3","484","150","402","51",31.9,"12",7.5,5.3
"Ray, Robbie","592662","160","14.4",27.5,"112.6","91.9","82.6","94.4","90.3","411","169","392","76",47.5,"12",7.5,4.7
"Boyd, Matthew","571510","160","18.2",34.4,"114.7","87.9","76.5","90.4","86.5","425","175","390","59",36.9,"10",6.3,4.2
"Brown, Hunter","686613","158","12.3",32.3,"114.3","85","71.7","91","81.3","418","151","395","46",29.1,"11",7,4.3
"Holmes, Grant","656550","158","6.6",36.7,"114.8","90.4","80.3","94.6","86.3","443","164","413","67",42.4,"19",12,7.9
"Baz, Shane","669358","156","10.9",28.2,"113.9","90.3","79.3","95.7","88.3","423","148","383","68",43.6,"18",11.5,7.7
"Allen, Logan","671106","156","14.1",31.4,"113.5","88.4","77","93","84.8","411","158","389","55",35.3,"16",10.3,7.3
"Ryan, Joe","657746","154","21.7",31.8,"111.5","90.4","80.5","95","86.7","410","190","389","64",41.6,"21",13.6,8.7
"Cease, Dylan","656302","153","15.2",40.5,"112.9","88.5","77.3","92.4","85.5","397","174","370","60",39.2,"17",11.1,6.9
"May, Dustin","669160","152","8.3",31.6,"113.5","90.3","79","92.7","88","455","154","412","67",44.1,"13",8.6,5.6
"Brown, Ben","676962","151","11.4",36.4,"113.3","91.7","82.1","93.9","91.1","426","159","400","69",45.7,"14",9.3,6
"Hicks, Jordan","663855","150","4.3",30,"115.2","89.5","78","93.5","87.9","423","124","378","67",44.7,"7",4.7,3.3
"Yamamoto, Yoshinobu","808967","150","5.5",26.7,"117.6","89.8","78.8","93.7","87.8","414","124","393","58",38.7,"9",6,3.7
"Smith, Shane","681343","150","12.3",32.7,"113","90","78.2","92","89.2","401","161","395","64",42.7,"8",5.3,3.6
"Nola, Aaron","605400","149","11.5",36.2,"108.9","89.7","79","94.6","85.8","421","166","390","65",43.6,"14",9.4,6.4
"Senga, Kodai","673540","149","15.1",28.2,"114.7","89.3","78.1","92.6","88.7","421","160","416","64",43,"9",6,3.9
"Houck, Tanner","656557","149","6.8",35.6,"112.2","91","79.8","95","87.8","432","151","396","69",46.3,"12",8.1,5.9
"Bido, Osvaldo","674370","149","19.4",32.9,"114.7","90.6","80.9","93.2","87.6","422","197","408","61",40.9,"17",11.4,8.6
"Alcantara, Sandy","645261","148","8.5",30.4,"117.9","91.2","80.8","95.7","87.5","418","155","390","71",48,"15",10.1,6.9
"Flaherty, Jack","656427","148","17.9",42.6,"113.8","90.4","79.8","94","85","440","190","394","63",42.6,"17",11.5,7.1
"Ortiz, Luis L.","682847","146","11.5",31.5,"114.6","93.5","83.5","97.5","91.5","422","164","386","73",50,"19",13,8.2
"Morton, Charlie","450203","145","9.7",32.4,"112.1","91.3","81.5","94","88.5","419","170","393","64",44.1,"15",10.3,6.8
"Rasmussen, Drew","656876","145","7.1",30.3,"113.2","90.5","80.7","92","90.6","392","140","369","60",41.4,"9",6.2,4.5
"Corbin, Patrick","571578","144","15.6",34,"113","89","78.6","93.3","86.3","420","176","391","52",36.1,"13",9,6.5
